Q,A,QE,AE
"So this works out perfectly.  Because I was worried if I didn't get in to U.S.C., then I would have to go somewhere far away and then-","You'd have to, like go somewhere else, and, you know, we would be apart, and that would suck.",hap,neu
Right.,Everything worked out perfectly.,xxx,hap
Everything worked out perfectly.,That's awesome.,hap,hap
That's awesome.,I know.  We should have a party.,hap,hap
We should have a party.,An I got accepted to U.S.C. party.,xxx,hap
You got accepted-what?  to a U.S.C. party?,No.  An I got accepted to U.S.C. party. [LAUGHTER],xxx,hap
No.  An I got accepted to U.S.C. party. [LAUGHTER],"Oh, that's right. Okay, I see. Right, right, right.",hap,neu
A party celebrating your acceptance.,Right.  Now you're with me.,neu,hap
Right.  Now you're with me.,That's cool.,hap,neu
That's cool.,That is why I got accepted.,neu,hap
That is why I got accepted.,"Well, that's really cool that you're going to be staying in the same city and everything. so umm",hap,hap
"Well, that's really cool that you're going to be staying in the same city and everything. so umm",I know.,hap,hap
I know.,"I don't know are you, like, I don't know.  Are you, like, available or anything?",hap,neu
[LAUGHTER] Are you asking me on a date?,"Well I mean I don't know.  It's like you know I kind of had a crush on you throughout high school and, like",xxx,hap
"I don't know I just thought that, you know, maybe we could, you know, I don't know.  It's like, you know, just test the waters anyway.  I don't see what the problem is.",What- what did you have in mind?,hap,hap
What- what did you have in mind?,"Movies- movie, we'll go to a movie and a dinner and- and",hap,hap
"actually, you know, there's this- there's this really cool restaurant, um, I don't know if you-  it's Red Lobster.  It's like down on",[LAUGHTER],hap,hap
[LAUGHTER],Vermont.,hap,hap
You just did not ask me on a date to Red Lobster.,"Wait, you've been there before?",xxx,hap
"Wait, you've been there before?",On occasion I've heard of it.,hap,hap
On occasion I've heard of it.,"Oh, so well then you know that it's awesome.",hap,hap
"Oh, so well then you know that it's awesome.",Yeah.  Totally.,hap,hap
Yeah.  Totally.,"Right, so we'll go there and then- and then we'll get some ice cream and maybe we'll go putt-putt golfing.",hap,hap
"Right, so we'll go there and then- and then we'll get some ice cream and maybe we'll go putt-putt golfing.",I am totally down with the ice cream.,hap,hap
I am totally down with the ice cream.,Okay.  Putt-putt golfing?,hap,neu
Okay.  Putt-putt golfing?,"Eh, we can work that part out.",neu,hap
"Eh, we can work that part out.","Yeah, you want to go.  No, you want to go. You want to go.",hap,hap
"Yeah, you want to go.  No, you want to go. You want to go.",Alright.,hap,hap
Alright.,I can see it in your eyes.  You want to go.,hap,hap
Yeah.  So we'll do that and then- and then- and then tomorrow we'll have your,party.,xxx,hap
Well look at that.  What a great day.  I got into college and I got asked out on a date.,Good. Alright we're so happy.,xxx,hap
Yay for me.,"That's right.  Um, so U.S.C. is a really nice school.",xxx,hap
"That's right.  Um, so U.S.C. is a really nice school.",I know.,hap,hap
I know.,Are you going to take out loans or-,hap,neu
Are you going to take out loans or-,Okay well that's not a happy part.  We don't want to talk about that.,neu,hap
"Well hey, it's okay, fine, gees.","Well no.  I mean I have some scholarships and some financial aid and stuff but I'll have to, you know, I'll get a job",xxx,hap
Sweet.,Yeah.  It will work out.  Maybe I could work at Red Lobster.,xxx,hap
"Well, it's not far.",I know.  Right down the street.,xxx,hap
Right,"But, um-",xxx,neu
and like most places really.,"I mean, like, I don't know.  I'm just saying if you need to make some extra cash.  You can, you know",xxx,neu
Work at a doughnut shop.,Or library.,xxx,neu
"Maybe on campus, I hear they have jobs on campus.",I just said the library,xxx,neu
"or, um, campus cruiser.  You can drive people around.",Excellent.  Drive drunk people around because you know that's all campus cruisers for.,neu,hap
Excellent.  Drive drunk people around because you know that's all campus cruisers for.,Right or you can run for student counsel.,hap,neu
Right or you can run for student counsel.,"Okay.  No, that's dorky.",neu,hap
"Okay.  No, that's dorky.",Dorky?,hap,neu
Dorky?,Yeah.,neu,hap
Yeah.,It's important.,hap,neu
It's important.,Student counsel?,neu,hap
Yes.,"No, it's dorky.",xxx,hap
"No, it's dorky.",Fine.  It's dorky.,hap,neu
Fine.  It's dorky.,Social life.  Hello.,neu,hap
Social life.  Hello.,But that'll fit you  because you're a dork.,hap,neu
But that'll fit you  because you're a dork.,[LAUGHTER].,neu,hap
[LAUGHTER].,[LAUGHTER].,xxx,hap
[LAUGHTER].,I dork.,hap,hap
I dork.,"No.  But I'm thinking I might, you know, like audition for a play or something.  I don't really want to do the sorority thing.  I'm not really feeling that vibe with the",hap,hap
"No.  But I'm thinking I might, you know, like audition for a play or something.  I don't really want to do the sorority thing.  I'm not really feeling that vibe with the","Yeah, you don't want to do the sorority thing because you'll probably get used and abused by",hap,neu
lots of money and,lots of drunk frat boys,xxx,neu
Right.,Yeah.,xxx,neu
"But, hey. They have- they have- they have free, uh",What have you heard about the Greek system?,xxx,hap
Free nothing. 'Cause you have to pay tons of money anyway.,"I mean it's not really free because you have to pay for it, but yeah.",xxx,neu
"Well, yeah.  I mean that's where you meet people, right.  Everybody lives in the dorms, right.","I hate to break this to you but you meet people by being cool, so-",xxx,neu
"I hate to break this to you but you meet people by being cool, so-","Oh, oh, I'm sorry, my bad.  I'll have to, like, sign up for summer lessons from you before I go.  You can teach me how to be cool before I go to college.",neu,hap
"Oh, oh, I'm sorry, my bad.  I'll have to, like, sign up for summer lessons from you before I go.  You can teach me how to be cool before I go to college.","No, no, no.  You're right though.  I mean, you know, dorms are definitely the way to meet people.  I know that I was in an apartment off campus",hap,neu
Right.,"that happened, you know, that was going on.",xxx,neu
"Yes, you're right.",That's what you're saying. I'm right. [LAUGHTER],xxx,hap
All hail to the,me.,xxx,hap
Hello.  Thank you for calling Dell Taco Corporate.  Can I help you?,"Yeah, um.  I have been trying to reach somebody who will refund, uh, my money.",hap,fru
um and everything was pretty much uh- uh- just not done right. All the orders were messed up.,"Okay.  Well, Did you go through the automated menu?  Most of your requests can be taken care of through that.",fru,neu
"Okay.  Well, Did you go through the automated menu?  Most of your requests can be taken care of through that.","Yes, I did and that didn't- I got through to, like, one operator and she sent me to like three others",neu,fru
and now I'm talking to you.  And all I want is my money back.  That's all I'm asking for. It's not much.,Okay.  Well I'd be happy to-,xxx,neu
Okay.  Well I'd be happy to-,"If you could just give me that, then I will leave you alone. And just- if i could also- What?",neu,fru
"If you could just give me that, then I will leave you alone. And just- if i could also- What?","Okay, sir.  I'd be happy to help you.",fru,fru
"Yeah, Beverley Hills.","Okay.  Um, and what was the complaint?",xxx,neu
"Okay.  Um, and what was the complaint?",The food was prepared incorrectly.,neu,fru
I asked for no tomatoes.,"Can you be a little more specific, sir?",fru,neu
"Um, hairs were found in three out of the six.","Did you try to take them back and get your order fixed, sir?",xxx,fru
"Yeah.  I did and they're like you've got to take it up with corporate, and I'm like well fine.  I'll have your ass by the end of the day and so now I'm trying to do that.","Well I'm very sorry, sir.  They should have dealt with it at that particular branch.  I apologize for that, uh, but we can help you.  That's no worries.  We can take care of that.  So how much did you need to be refunded?",xxx,neu
"Well I'm very sorry, sir.  They should have dealt with it at that particular branch.  I apologize for that, uh, but we can help you.  That's no worries.  We can take care of that.  So how much did you need to be refunded?","It was a hundred a sixty dollars.  I'm sorry, uh, sixteen dollars.",neu,neu
"It was a hundred a sixty dollars.  I'm sorry, uh, sixteen dollars.","Okay.  Um, I'm going to go ahead and transfer you over to another department.  They'll need your address.",neu,neu
"Okay.  Um, I'm going to go ahead and transfer you over to another department.  They'll need your address.","Look, I don't want to be transferred over to another- All I want to do is just give you my name and address so you can send me a check.",neu,ang
"and if I get sent to another operator, I'll have to tell them the same damn story again.  I don't- I think I'm just going to lose my mind.  So if you could please just not do that, that would be great.  Thank you.","I understand, sir.  I will explain to them what the situa-",ang,fru
"I understand, sir.  I will explain to them what the situa-",You don't understand because you've never gone to Del Taco and gotten the service that I've gotten.  You don't understand.,fru,ang
You're right sir.  It is your particular situation but I will call the other operator.  I will explain to them what's going on. You won't have to tell your story again.,You're not going to call the other operator. You're not going to call the the other operator.,xxx,ang
because I know you're at a desk right now in your stupid corporate building and you're going to send me a check for sixteen dollars and forty two cents.,"Okay, sir.  They- they have to-",ang,fru
"Sir, they have to take down your address at the other station.  I will transfer.  I will explain everything to them.  It will all be fine.  I promise.",What's your name?,fru,fru
What's your name?,Cindy?,fru,fru
Cindy.,Cindy?  Cindy what?,xxx,ang
Cindy?  Cindy what?,"Sir, I don't think my name is really relevant-",ang,fru
"Sir, I don't think my name is really relevant-","Cindy, look.  If you don't get your ass a piece of paper that has a check",fru,ang
"attached to it and you don't send it to me, I'm going to get very upset.","Alright, sir. Sir.  I'm going to transfer you to the address.",ang,fru
"Alright.  You know what, sir.  The customer is always right.","You know what.  I- You know what? You know what? No, it's fine. it's fine it's fine You know what?",fru,fru
"You know what.  I- You know what? You know what? No, it's fine. it's fine it's fine You know what?",I will go ahead and I will take- I will take,fru,fru
I will go ahead and I will take- I will take,"Hey, Cindy. Cindy, look I know this is not your fault.  Do whatever you want.",fru,fru
"Sir, customer satisfaction is our first goal.  I will go ahead and take your number and your address down myself.","of getting my sixteen dollars back. It fine, no honestly.",xxx,fru
But I'm giving you what you want.,No it doesn't matter.  It's fine.  It's fine.  Just send me to the next operator.  That's fine.,ang,fru
No it doesn't matter.  It's fine.  It's fine.  Just send me to the next operator.  That's fine.,"Okay.  If that's what you want, you want to go to the next person?",fru,fru
Yes.,Okay.  Great.,xxx,fru
"Yeah, hi.  Um, look, I -- all I'm trying to do right now is renew my license plate.  That's all.  I just need to get one of those little stickers.",Okay.  What's the problem?,neu,neu
Okay.  What's the problem?,"And I've- I've- some lady -- I got in line.  I waited for about two hours um, and, I gave her this form",neu,fru
"that she gave to me earlier. And she said oh, I gave you the wrong one by accident.  So I was hoping I could just fill out a new one, give it to you and sort of skip this whole line business.","Okay, um.  Do you have your photo ID with you?",fru,neu
"Okay, um.  Do you have your photo ID with you?","Yes, I do.",neu,neu
"Yes, I do.",Okay.  This is the wrong form.  I'm sorry.,neu,neu
Okay.  This is the wrong form.  I'm sorry.,"This is -- okay, then just can I have the form that I need.",neu,fru
"This is -- okay, then just can I have the form that I need.","I don't have the form.  You're going to have to go get in that line over there and they will give you the right form.  And after you fill it out, you can bring it back to me.",fru,fru
"I don't have the form.  You're going to have to go get in that line over there and they will give you the right form.  And after you fill it out, you can bring it back to me.",Don't you -- you don't have-,fru,fru
are you telling me you don't have a stack of them behind the desk?,I don't have any of,fru,fru
I don't have any of them over here.  You're gonna have to go get in that line over there.  And they will give you a copy of the form.,"But you're -- it's the same -- I mean, you can -- like I can't go behind your desk--",fru,fru
"But you're -- it's the same -- I mean, you can -- like I can't go behind your desk--","Nope, I don't. I don't have-",fru,fru
"Nope, I don't. I don't have-",or I can't go behind there- you can go behind this person's desk and just grab the form. So if you could just do that; that would help me out a lot.,fru,fru
or I can't go behind there- you can go behind this person's desk and just grab the form. So if you could just do that; that would help me out a lot.,"No, I can't. That's-",fru,fru
I'm sorry.  You have to do things the way you have to do things here.  We have rules.,"Look, can you please just-- --make this -- look, I look--",fru,fru
"Look, can you please just-- --make this -- look, I look--","Go get in that-- Sir-- Sir, there are people in line behind you. you need",fru,fru
"Go get in that-- Sir-- Sir, there are people in line behind you. you need",look-- It's  been- it's been two hours.  Can you please just make this easier on me and just go and get the form?  It's not- it's really not,fru,fru
look-- It's  been- it's been two hours.  Can you please just make this easier on me and just go and get the form?  It's not- it's really not,"I'm sorry.  I'm sorry you're having a hard time,",fru,fru
but you're gonna have to go get in  that line to,What if I pay you money?,fru,fru
"Can I pay you money?  Can I give you, like, twenty bucks and you'll go back there and get the form?",twenty bucks? Please. Go get in that line over there.,fru,neu
twenty bucks? Please. Go get in that line over there.,"Come on.  Will you please?  I just --I look, I  cannot-- --just if I --",neu,fru
"Come on.  Will you please?  I just --I look, I  cannot-- --just if I --","Look, I'm having a really bad day.  I'm off in twenty minutes and I just really don't need this right now, okay.",fru,fru
"Look, I'm having a really bad day.  I'm off in twenty minutes and I just really don't need this right now, okay.","I don't care, well- You're having a bad -- I just waited in line for two hours.",fru,fru
"I don't care, well- You're having a bad -- I just waited in line for two hours.","And you're gonna have to go wait again, because that's the line you need.",fru,fru
Well I just -- I can't do that right -- can you please just grab the form? All you have to do is grab the form.  I'm not gonna ask anything else of you.,I can't do that. It's against our rules. You can go get in that line over there or you can just go ahead and leave and come back another day.  Maybe there will be a shorter line.,xxx,fru
I can't do that. It's against our rules. You can go get in that line over there or you can just go ahead and leave and come back another day.  Maybe there will be a shorter line.,That's all I- I just- That's all i want you to-,fru,fru
"Come -- just, please, just grab the form.  It's right over there.",I can't do that.,fru,fru
Why are you being such a bitch?,"I'm sorry, but I can't do that.",fru,fru
"I'm sorry, but I can't do that.","Please, will you please -- will you please just grab the form?",fru,fru
"Please, will you please -- will you please just grab the form?",So go get in the other line or leave.  Or I will have you escorted out by security.,fru,ang
Would you like to be kicked out of the D.M.V.?  You don't think that'll be a little embarrassing?,"Fine, which line is it?",ang,fru
"Fine, which line is it?",The one you just came from.,fru,fru
The one you just came from.,"Okay, fine.  I'll go over there.  Thanks, a lot.  You've been really helpful.",fru,ang
"Okay, fine.  I'll go over there.  Thanks, a lot.  You've been really helpful.",Yeah.  Thank you.  Have a pleasant day.,ang,ang
You're just fine with this?,There's nothing I --,xxx,fru
There's nothing I --,You're just going to pick up and leave me and our baby and miss a year of our lives?,fru,fru
You're just going to pick up and leave me and our baby and miss a year of our lives?,"It's -- look, it's only a year.  It'll go by quickly.  Okay.",fru,fru
"When you get back, think of all of the things that you're going to have missed.","I know, but I'll be back then.  And - and- and we'll have -- we have the rest of our lives.",xxx,fru
Don't go.,I can't do that.  I have to go.,xxx,fru
I can't do that.  I have to go.,"Do you want to -- do you want to leave us behind?  I mean, I don't understand why you have to do this.",fru,fru
"Do you want to -- do you want to leave us behind?  I mean, I don't understand why you have to do this.",I've made a pledge.  I can't not do this at this point.,fru,fru
"You've made a pledge to us, too.  Remember that day, we stood in front of each other and said 'til death do us part.  Put on some rings and it's supposed to mean something.",I know that. I know that. I know that.,xxx,fru
"And this is what I do.  This is -- I mean, this is my life.  And I know that you're part of my life, too, and I mean, it's only -- it's just going to be a year.  I'll be back.",Can't you ask them?  Can't you go back and ask them if you could -- I don't know if you could change  assignments or something and you could stay here?,fru,fru
Can't you ask them?  Can't you go back and ask them if you could -- I don't know if you could change  assignments or something and you could stay here?,It's not- it's not- It's not like that.  It's not like that.  I can't do that.,fru,fru
It's not- it's not- It's not like that.  It's not like that.  I can't do that.,"Why not?  You could, at least, try.  They have to understand",fru,fru
"Why not?  You could, at least, try.  They have to understand",Because it's impossible.  There's -- I just can't.  I can't.,fru,fru
Because it's impossible.  There's -- I just can't.  I can't.,You won't even know your child when you come back.  This -- isn't there someone you could talk to?,fru,sad
Explain the situation to them and then you can stay here.,"Look, honey, it's- it's- it's only going to be a year.",fru,fru
It's only going to be a year. I'm not going to miss my son's entire life.,"And what happens if, at the end of that year, they ask you to stay longer?  Are you just going to agree?  Are you just going to absentmindedly brainwashedly do whatever it is they tell you to do?",fru,fru
"And what happens if, at the end of that year, they ask you to stay longer?  Are you just going to agree?  Are you just going to absentmindedly brainwashedly do whatever it is they tell you to do?",I'm not going to stay more than a year.  I've  agreed to a year,fru,fru
I'm not going to stay more than a year.  I've  agreed to a year,Then why do you have to go a year at all?,fru,fru
Then why do you have to go a year at all?,Because I've already agreed to that.,fru,fru
Because I've already agreed to that.,Well unagree.  Tell them that you can't leave right now.  I can't do this by myself.  I can't do this without you.,fru,fru
Well unagree.  Tell them that you can't leave right now.  I can't do this by myself.  I can't do this without you.,"Yes, you can.  Yes, you can.  You know you can.  You're a strong person.",fru,fru
This is supposed to be a partnership.  We're supposed to do this together. I'm not supposed to be left here to do this by myself while you leave.,It is. It is. It is. It is. I'm going to write you every day.,xxx,fru
"What am I supposed to do, read your letters?",What else can we do?  I -- we don't have a choice in this.  Do you understand?  You can't come with me and I can't stay here.  That's all there is to it.,xxx,fru
What else can we do?  I -- we don't have a choice in this.  Do you understand?  You can't come with me and I can't stay here.  That's all there is to it.,"There has to be something.  I mean, we can't just live with this.  It's not -- it just won't work this way.",fru,fru
"There has to be something.  I mean, we can't just live with this.  It's not -- it just won't work this way.",We don't have a choice.  I have to do this.,fru,fru
We don't have a choice.  I have to do this.,Just tell them no.,fru,fru
Just tell them no.,"I can't do it.  I'd love to.  I mean, I don't - if you understand, I don't want to stay.",fru,fru
"I mean, I don't want to -- I don't want to leave.  I want to stay here with you.","Then, can't you please try something?  If you go and ask them and they say no, then I would understand, but you're not even willing to ask.",fru,fru
Can't you just make an effort?  Can't you just try?,I've asked already.  I can't go back.,fru,fru
"It can't happen.  I have to go.  I want to stay really bad, but I can't.  There's just no -- I don't have an option.",When do you leave?,fru,sad
When do you leave?,Next week.,sad,fru
Next week.,A week.  You're giving me a week to be okay with this.,fru,ang
A week.  You're giving me a week to be okay with this.,"You can't make it out like I'm happy about this.  I mean, I didn't -- I didn't want to put you in this situation.",ang,fru
"You can't make it out like I'm happy about this.  I mean, I didn't -- I didn't want to put you in this situation.",Well it doesn't seem like you're that bothered by it.,fru,fru
Well it doesn't seem like you're that bothered by it.,"I am.  I mean, I don't know.  I don't know what else to tell -- you know, I mean, I can tell you.  I don't know what else to do. I mean, I've been forced into this situation.",fru,fru
"I am.  I mean, I don't know.  I don't know what else to tell -- you know, I mean, I can tell you.  I don't know what else to do. I mean, I've been forced into this situation.","If you really cared so much, you'd find a way out.",fru,fru
"If you really cared so much, you'd find a way out.",There's nothing I can do.  I-- I,fru,fru
"Fine, fine.  We have to be together.  If you can't stay here, then I'll go with you.  I don't care where you go.  We'll go, too.  I'm not staying behind.",They won't let you come along.  It's not going to happen.,xxx,fru
They won't let you come along.  It's not going to happen.,"It's a free world.  I can go where I want.  Wherever you are, that's where we're going to go.",fru,fru
"It's a free world.  I can go where I want.  Wherever you are, that's where we're going to go.",Are you kidding? Please don't be difficult about this.,fru,fru
Difficult.  You're leaving for a year. We have a newborn child and you're leaving.  I don't think I'm being difficult.,[BREATHING],xxx,fru
[BREATHING],"I'm finding a way to make it work.  And I will go wherever you go.  Whatever I have to do, I will make this work.",fru,fru
"I'm finding a way to make it work.  And I will go wherever you go.  Whatever I have to do, I will make this work.","Look, I--",fru,fru
"Look, I--",You're not really giving me a lot of options.,fru,fru
You're not really giving me a lot of options.,Where I'm going is not the safest place on the earth.  Okay.,fru,fru
Where I'm going is not the safest place on the earth.  Okay.,But I'm supposed to be okay with you going there.,fru,fru
But I'm supposed to be okay with you going there.,But I've been trained.  You have no training.,fru,fru
I'm not going to stay here and wait.,You have to.  Do you understand me?  You have to.,xxx,fru
I can't do it.,"Well I guess we're at a stalemate then, aren't we?",xxx,fru
"Oh, my God.  Congratulations.","Yeah, it's pretty amazing, huh?",xxx,hap
"Yeah, it's pretty amazing, huh?",I can't -- how did you do it?  What happened?,hap,hap
"and we were just out on the water and, you know, I just -- I had the ring with me.  And I was like let's do this.  And she was like okay and then we're getting married.",[LAUGHTER] Well you paint a romantic picture.,xxx,hap
[LAUGHTER] Well you paint a romantic picture.,"Well I didn't want it to be like cheesy, you know.",hap,hap
"Well I didn't want it to be like cheesy, you know.",Did she cry?,hap,hap
Did she cry?,"She didn't cry, but she was laughing a lot and it was very exciting, so...",hap,hap
"She didn't cry, but she was laughing a lot and it was very exciting, so...","Oh, my God.  How long have you been planning on doing this?",hap,hap
"Oh, my God.  How long have you been planning on doing this?","Honestly, it was kind of quickly.  It was actually only in the past couple months.",hap,hap
"Honestly, it was kind of quickly.  It was actually only in the past couple months.",I can't believe this.  You're getting married. It's crazy!,hap,hap
I can't believe this.  You're getting married. It's crazy!,"Yeah. Yeah. So- I know.  I know. I know.  It's weird 'cause it's like the beginning of the rest of my life, you know.",hap,hap
"Yeah. Yeah. So- I know.  I know. I know.  It's weird 'cause it's like the beginning of the rest of my life, you know.","Yeah, it is.",hap,hap
"Yeah, it is.","But uh- no, I mean, you know.  You know, I really want you to like, you know, sort of",hap,hap
"help Kate out with like planning stuff. I mean, if you want to.  I mean, you guys are good friends anyway so I figured, you know, if you guys want to like -- I mean, you know, I'm sure you enjoy that kind of thing.","Yeah, I would love to. Thanks. [LAUGHTER]",xxx,hap
"Yeah, I would love to. Thanks. [LAUGHTER]",Okay. Well there you go.,hap,hap
Okay. Well there you go.,"Oh, my God, where -- have you guys talked about where you're going to get married or--",hap,hap
I think we're going to -- we're going to -- we want to do it in Hawaii and just fly everybody in.,"Oh, my God.",xxx,hap
"It's just going to be like a all fruit--fruit buffet wedding, plus a cake.",Are you going to get married like on the beach barefoot or like fancier?  Like in a church.,xxx,hap
Are you going to get married like on the beach barefoot or like fancier?  Like in a church.,Barefoot?,hap,hap
Barefoot?,Well I don't know.  Throwing it out there.,hap,hap
Okay.,Yeah.  But I'm really excited.  So and everybody's going to come out and it'll be a great time.  And--,xxx,hap
"It'll be kind of small, but not, you know, not tiny, you know.  I want to have, you know, as many people as we can afford to fly out to Hawaii and put up there for--",It's so exciting.  What's the ring look like?,xxx,hap
It's so exciting.  What's the ring look like?,It's big and shiny.  I don't know.  It's silver and--,hap,hap
It's big and shiny.  I don't know.  It's silver and--,Big and shiny.  You're such a guy. [LAUGHTER],hap,hap
Big and shiny.  You're such a guy. [LAUGHTER],"Yeah, I don't know. [LAUGHTER] But, yeah, so anyway -- well I wanted to tell you that, you know, 'cause you're one of my good friends and you're Kate's- one of her best friends and-",hap,hap
"Yeah, I don't know. [LAUGHTER] But, yeah, so anyway -- well I wanted to tell you that, you know, 'cause you're one of my good friends and you're Kate's- one of her best friends and-",I'm so excited for you. That's great. I'm so-,hap,hap
I'm so excited for you. That's great. I'm so-,"Yeah, yeah. She was actually -- she was going to tell you but I told her that I wanted to tell you and she had to work today anyway, so I decided to-",hap,hap
Well I'm glad you told me.,"Yeah, yeah.",xxx,hap
"Yeah, yeah.",It's fantastic.  I -- congratulations. It's amazing.,hap,hap
It's fantastic.  I -- congratulations. It's amazing.,"Thank you.  I'm really -- I'm really excited.  And it's -- I don't know, it's like a little -- it's like a little scary, 'cause I'm like, ah, you know, it's the first time I've ever done anything like this.",hap,hap
And how did she feel about that?,She's okay with it.,xxx,hap
She's going to let you have say in the wedding choices?  That's pretty impressive. Very forward-thinking woman. [LAUGHTER],"Well, I mean I just told her--Well I just said, you know, hey, these are my suggestions.",xxx,hap
And brown.,All fruit and the color brown. Just that. That's all- that's my only request.,xxx,hap
All fruit and the color brown. Just that. That's all- that's my only request.,This is why men don't plan weddings. [LAUGHTER],hap,hap
This is why men don't plan weddings. [LAUGHTER],Yeah.  Well maybe--maybe you're right. Maybe there's something to that.,hap,hap
Yeah.  Well maybe--maybe you're right. Maybe there's something to that.,All fruit and brown. [LAUGHTER],hap,hap
All fruit and brown. [LAUGHTER],"So, um, anyway, do you want to order now?   So, um I mean--",hap,neu
"it's just like nobody- nobody wants to hire me. It's been years, I mean, do you understand, years?  Like, I'm -- you know what I mean, it's like I've been collecting unemployment for so long now, it's just like I just -- I can't take it.  I don't know what to do.  I mean, I'm just like losing my mind.",Well there has to be something you haven't tried.,fru,neu
Well there has to be something you haven't tried.,"I-I'm not kidding.  I've tried everything.  Like I've gone to every business and local, you know,",neu,fru
"local business in- in the area and I can't- I can't get anything.  Like, nobody -",What about like a temp agency?,fru,neu
"Have you gone, like, signed up with a temp agency?  Maybe they can help.","there's just like no jobs available.  I mean, it's just like, God.",neu,neu
"Yeah, I tried that.  And there was like, yeah, like I did like one thing once.  But, like, that's not -- it doesn't last very long.  And it's not enough to live on.","Right, but you have -- I mean, you have to keep on them.  You have to keep calling and reminding them that you're still looking and",fru,neu
"I mean, you have to be really aggressive about it.","Yeah, I do.  I do.  You don't understand.",neu,fru
"But, like, it's been years now and I just can't seem to get anything that really fits.  It's just it -- I -- it drives me absolutely insane.","Well, I mean, if it's that bad, maybe you're gonna have to take something that doesn't really fit, you know.  Like maybe you'll have to do something else for a while.  Find a new field, new skill.",fru,neu
"Well, I mean, if it's that bad, maybe you're gonna have to take something that doesn't really fit, you know.  Like maybe you'll have to do something else for a while.  Find a new field, new skill.","No, no, no, no, no.  I can't- I can't do that.  I can't, I- because if I'm not- if I'm not- if I'm not doing something that I love, then I can't -- I can't- I mean it's- what's the point?",neu,fru
"No, no, no, no, no.  I can't- I can't do that.  I can't, I- because if I'm not- if I'm not- if I'm not doing something that I love, then I can't -- I can't- I mean it's- what's the point?","Well then you're choosing to be unemployed, really.",fru,neu
"Well then you're choosing to be unemployed, really.",I'm not choosing. I'm not-,neu,fru
I'm not choosing. I'm not-,"If you're not willing to try and work with it and find something and, you know, I mean, there are things you could do.",fru,neu
"If you're not willing to try and work with it and find something and, you know, I mean, there are things you could do.","No, but I'm try- but like all the things that I-it's like I apply to all these places and none of them",neu,fru
"-- I mean, I don't understand.  It's like -- I mean, I feel like I'm qualified enough.  I just don't understand.  Like, I mean, it's just like a matter of circumstance, but it's been three years, you know, three years.","Well maybe, you know, your luck it is just down and the market for your particular field is down and maybe you just need to look into doing something else for a while.",fru,neu
"Well maybe, you know, your luck it is just down and the market for your particular field is down and maybe you just need to look into doing something else for a while.",This is stupid.,neu,fru
This is stupid.,"I mean, I'm not saying that you should, you know--",fru,neu
"I mean, I'm not saying that you should, you know--","You know what, this is your fault.",neu,fru
"You know what, this is your fault.",Excuse me?,fru,sur
Excuse me?,It's your fault 'cause -cause you always told me to- to do this and I did that instead.  And I didn't take your advice and - and- but you sort of were like were telling--,sur,fru
It's your fault 'cause -cause you always told me to- to do this and I did that instead.  And I didn't take your advice and - and- but you sort of were like were telling--,It's my fault 'cause you didn't do what I told you to?,fru,neu
It's my fault 'cause you didn't do what I told you to?,"Yeah, exactly.",neu,fru
"Yeah, exactly.",Well that sounds like your fault.,fru,neu
Well that sounds like your fault.,Yeah.,neu,fru
Yeah.,You didn't do what I told you to do.,fru,neu
You didn't do what I told you to do.,That's 'cause you always tell me to do the wrong thing.  And I thought this time it was -- I was gonna be right by going with the opposite thing. So it's your fault because,neu,fru
That's amazing logic that you managed to turn that around and make it my fault.,"Well, I mean, it makes sense, doesn't it, hmm?",xxx,neu
"Well, I mean, it makes sense, doesn't it, hmm?",I think maybe you can't get employed because you aren't willing to take responsibility for your own actions.,neu,neu
I think maybe you can't get employed because you aren't willing to take responsibility for your own actions.,That's not true.  I take responsibility for my own actions.,neu,neu
That's not true.  I take responsibility for my own actions.,Really?  Whose fault is it you don't have a job?,neu,neu
Really?  Whose fault is it you don't have a job?,Yours.  I don't--,neu,neu
Yours.  I don't--,[LAUGHTER],neu,neu
"You see what you just did there, though?","I had- No, I don't.  I'm sorry.  I just totally screwed this one up.  You can stop it I guess.",xxx,oth
"Yeah, hi.  Look--Um, okay.  Here's the thing.","Hi, how can I help you?",fru,neu
Just arrived from London--,Mmhmm.,xxx,neu
Mmhmm.,lost my luggage. Your airline--,neu,fru
lost my luggage. Your airline--,I'm sorry.,fru,neu
Right.,"lost my luggage. I didn't lose it. No, it's not like I left it somewhere and somebody took it.",neu,fru
I thought you lost your luggage.,"It was lost.  I waited on the conveyor -- near the conveyor belt to see, you know, where -- then the baggage claim and see if it would- it would come out.",xxx,fru
'Cause that's roughly how much the bag plus all its contents was worth.,"Uh. Okay.  I -- first of all, I'm very sorry you lost your bag.",fru,neu
"Um, but, actually, our policy is a fifty dollar",fifty dollars?,neu,ang
fifty dollars?,refund--coverage of the bag that was lost. yes,ang,neu
refund--coverage of the bag that was lost. yes,"fifty dollars. No way, no.",neu,ang
"fifty dollars. No way, no.","That's our policy, sir.",ang,neu
"That's our policy, sir.","I don't but the thing is, I don't care about your policy.",neu,ang
"What I want you to do is I want you to write three of those, as if I were three people.  Okay.  You can write -- you can just put my name on all --",I can't do that.,fru,neu
I can't do that.,But what I'm telling you is that's what you're going to do.,neu,fru
"Uh, no, actually, no I'm not.","No, no, because, look, I don't care what your policy says.  I mean--",xxx,ang
